703787766	20161104	201611	2016	2016.8329	CVL	POPULATION						CVL			ETH	ETHIOPIA	ETH								1	051	051	05	1	3.4	5	1	5	4.24528301886792	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	20171104014500	http://www.globalatlanta.com/event/international-food-wine-festival/
703787767	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			0	036	036	03	1	4.0	6	1	6	-1.38299962083316	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	4	Losar, Himachal Pradesh, India	IN	IN11	72785	32.4333	77.7333	-2102812	20171104014500	http://www.btvi.in/article/read/politics/39493/us-report-contradicts-trump--affirms-global-warming
703787768	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			0	036	036	03	1	4.0	2	1	2	-0.17953321364452	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171104014500	http://www.btvi.in/article/read/international/39492/poland-gets-fund-from-european-union-to-buy-new-buses
703787769	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			0	036	036	03	1	4.0	4	1	4	-1.98473282442748	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20171104014500	http://www.btvi.in/article/read/politics/39493/us-report-contradicts-trump--affirms-global-warming
703787770	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			0	040	040	04	1	1.0	8	1	8	-1.082133019036	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	4	Losar, Himachal Pradesh, India	IN	IN11	72785	32.4333	77.7333	-2102812	20171104014500	http://www.btvi.in/article/read/international/39492/poland-gets-fund-from-european-union-to-buy-new-buses
703787771	20161104	201611	2016	2016.8329	FRA	FRENCH	FRA								FRAGOV	FRANCE	FRA					GOV			0	040	040	04	1	1.0	4	1	4	-1.98473282442748	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	1	France	FR	FR		46	2	FR	20171104014500	http://www.btvi.in/article/read/politics/39493/us-report-contradicts-trump--affirms-global-warming
703787772	20161104	201611	2016	2016.8329	FRAGOV	FRENCH	FRA					GOV													0	036	036	03	1	4.0	6	1	6	-1.98473282442748	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171104014500	http://www.btvi.in/article/read/politics/39493/us-report-contradicts-trump--affirms-global-warming
703787773	20161104	201611	2016	2016.8329	FRAGOV	FRENCH	FRA					GOV													0	036	036	03	1	4.0	12	1	12	-1.082133019036	1	France	FR	FR		46	2	FR	0								4	Losar, Himachal Pradesh, India	IN	IN11	72785	32.4333	77.7333	-2102812	20171104014500	http://www.btvi.in/article/read/international/39492/poland-gets-fund-from-european-union-to-buy-new-buses
703787774	20161104	201611	2016	2016.8329	FRAGOV	FRENCH	FRA					GOV													0	040	040	04	1	1.0	18	1	18	-1.38299962083316	1	France	FR	FR		46	2	FR	0								4	Losar, Himachal Pradesh, India	IN	IN11	72785	32.4333	77.7333	-2102812	20171104014500	http://www.btvi.in/article/read/politics/39493/us-report-contradicts-trump--affirms-global-warming
703787775	20161104	201611	2016	2016.8329	GOV	PRESIDENT						GOV			MED	MEDIA						MED			1	010	010	01	1	0.0	6	1	6	-3.64077669902912	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	1	Philippines	RP	RP		13	122	RP	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20171104014500	http://newsinfo.inquirer.net/942834/philippine-news-updates-ferdinand-marcos-time-magazine-shibby-de-guzman-bretman-rock
703787776	20161104	201611	2016	2016.8329	GOV	PRESIDENT						GOV			MED	MEDIA						MED			1	010	010	01	1	0.0	2	1	2	-3.64077669902912	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20171104014500	http://newsinfo.inquirer.net/942834/philippine-news-updates-ferdinand-marcos-time-magazine-shibby-de-guzman-bretman-rock
703787777	20161104	201611	2016	2016.8329	MNCUSAHLH	VALEANT PHARMACEUTICALS	USA					MNC	HLH												1	020	020	02	1	3.0	20	2	20	1.15424973767051	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20171104014500	https://www.themarketsdaily.com/2017/11/04/valeant-pharmaceuticals-international-inc-vrx-expected-to-post-earnings-of-0-91-per-share.html
703787778	20161104	201611	2016	2016.8329	NGOHLHMSFMED	DOCTORS WITHOUT BORDERS		MSF				NGO	HLH	MED											1	010	010	01	1	0.0	10	1	10	-6.41330166270783	4	La Reunion, Seychelles (general), Seychelles	SE	SE00	61254	-4.35	55.8333	-1322546	0								4	La Reunion, Seychelles (general), Seychelles	SE	SE00	61254	-4.35	55.8333	-1322546	20171104014500	http://www.newsmax.com/Newsfront/madagascar-plague-who/2017/11/03/id/824055/
703787779	20161104	201611	2016	2016.8329	PHLGOV	PHILIPPINE	PHL					GOV			MED	MEDIA						MED			1	010	010	01	1	0.0	2	1	2	-3.64077669902912	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20171104014500	http://newsinfo.inquirer.net/942834/philippine-news-updates-ferdinand-marcos-time-magazine-shibby-de-guzman-bretman-rock
703787780	20161104	201611	2016	2016.8329	USA	KENTUCKY	USA																		1	014	014	01	1	0.0	8	1	8	-0.34843205574913	3	Keeneland, Kentucky, United States	US	USKY	KY111	38.2748	-85.5675	495594	0								3	Keeneland, Kentucky, United States	US	USKY	KY111	38.2748	-85.5675	495594	20171104014500	https://www.bloodhorse.com/horse-racing/articles/224536/mendelssohn-storms-home-in-bc-juvenile-turf
703787781	20161104	201611	2016	2016.8329	USAGOV	OBAMA	USA					GOV			CRM	WHORE						CRM			0	193	193	19	4	-10.0	2	1	2	-3.34281650071123	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104014500	http://gazette.com/asia-is-turning-its-back-on-democracy-and-some-say-trump-isnt-helping/article/feed/507838
703787782	20171005	201710	2017	2017.7534	AFGINSTAL	TALIBAN	AFG	TAL				INS			AFG	AFGHANISTAN	AFG								0	015	015	01	1	0.0	2	1	2	-8.19081908190819	3	Fort Bragg, North Carolina, United States	US	USNC	NC093	35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787783	20171005	201710	2017	2017.7534	AFGINSTAL	TALIBAN	AFG	TAL				INS			AFG	AFGHANISTAN	AFG								0	015	015	01	1	0.0	8	1	8	-8.19081908190819	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787784	20171005	201710	2017	2017.7534	CHNMED	CHINA	CHN					MED													0	111	111	11	3	-2.0	2	1	2	-3.34281650071123	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20171104014500	http://gazette.com/asia-is-turning-its-back-on-democracy-and-some-say-trump-isnt-helping/article/feed/507838
703787785	20171005	201710	2017	2017.7534	GOV	GOVERNMENT						GOV			JUD	APPEALS COURT						JUD			1	120	120	12	3	-4.0	10	1	10	-2.43445692883895	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171104014500	http://www.startribune.com/justice-department-accuses-aclu-of-misconduct-in-pregnant-teen-case/455069413/
703787786	20171005	201710	2017	2017.7534	LEG	LAWMAKER						LEG			USAGOV	OBAMA	USA					GOV			0	090	090	09	2	-2.0	5	1	5	-1.60642570281125	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171104014500	https://www.yahoo.com/news/mueller-protected-obama-clinton-fired-224128917.html
703787787	20171005	201710	2017	2017.7534	MOS	ISLAMIC				MOS															1	138	138	13	3	-7.0	3	1	3	-1.95652173913043	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	0								4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20171104014500	http://gearsofbiz.com/syrian-government-forces-will-march-to-raqqa-soon-iranian-official-says/171313
703787788	20171005	201710	2017	2017.7534	MOS	ISLAMIC				MOS					SYR	SYRIA	SYR								1	138	138	13	3	-7.0	6	1	6	-2.01465201465201	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	20171104014500	https://www.swissinfo.ch/eng/reuters/syrian-government-forces-will-march-to-raqqa-soon--iranian-official-says/43649752
