704286929	20161106	201611	2016	2016.8384	CVL	VILLAGE						CVL			LEG	LEGISLATIVE COUNCIL						LEG			1	010	010	01	1	0.0	10	1	10	-0.709219858156028	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20171106111500	http://www.thehansindia.com/posts/index/Telangana/2017-11-06/Piped-water-supply-for-183-villages-by-Aug-next-year-KTR/337823
704286930	20161106	201611	2016	2016.8384	FIN	FINLAND	FIN								FRA	CORSICA	FRA								1	057	057	05	1	8.0	5	1	5	4.76190476190476	0								0								0								20171106111500	https://shipandbunker.com/news/emea/642264-ferry-company-signs-up-to-vessel-efficiency-agreement
704286931	20161106	201611	2016	2016.8384	GBR	UNITED KINGDOM	GBR																		1	031	031	03	1	5.2	4	1	4	0.453514739229025	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Singapore	SN	SN		1.366667	103.8	SN	20171106111500	http://mashable.com/2017/11/06/ikea-ecommerce-singapore-asia/
704286932	20161106	201611	2016	2016.8384	GBR	UNITED KINGDOM	GBR																		1	031	031	03	1	5.2	1	1	1	0.453514739229025	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171106111500	http://mashable.com/2017/11/06/ikea-ecommerce-singapore-asia/
704286933	20161106	201611	2016	2016.8384	ISR	ISRAELI	ISR								ISRGOV	ISRAEL	ISR					GOV			1	020	020	02	1	3.0	2	1	2	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286934	20161106	201611	2016	2016.8384	ISR	ISRAEL	ISR								ISRGOVMED	REUVEN RIVLIN	ISR					GOV	MED		1	193	193	19	4	-10.0	4	1	4	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286935	20161106	201611	2016	2016.8384	ISR	ISRAELI	ISR								PSE	PALESTINIAN	PSE								1	080	080	08	2	5.0	3	1	3	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286936	20161106	201611	2016	2016.8384	ISR	ISRAELI	ISR								PSE	PALESTINIAN	PSE								1	080	080	08	2	5.0	1	1	1	-3.79146919431279	1	West Bank	WE	WE		31.666667	35.25	WE	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286937	20161106	201611	2016	2016.8384	ISRGOVMIL	ISRAELI	ISR					GOV	MIL		ISR	ISRAELI	ISR								1	080	080	08	2	5.0	4	1	4	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286938	20161106	201611	2016	2016.8384	ISRGOVMIL	ISRAEL	ISR					GOV	MIL		ISR	ISRAEL	ISR								1	080	080	08	2	5.0	2	1	2	-3.79146919431279	1	West Bank	WE	WE		31.666667	35.25	WE	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286939	20161106	201611	2016	2016.8384	ISRGOVMIL	ISRAELI	ISR					GOV	MIL		ISRGOV	ISRAELI	ISR					GOV			1	020	020	02	1	3.0	6	1	6	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
